tag	del	herbarium	herblocate	category	catabbrev	specid	brahms	accession	barcode	Picture	phenology	collector	prefix	number	suffix	addcoll	type	type_of	day	month	year	dateres	collected	monthname	family	cf	taxstat	species	detstatus	detby	detday	detmonth	detyear	detdate	originstat	originid	continent	region	tdwglv1	tdwglv2	tdwgl3name	tdwg	country	majorarea	minorarea	locprefix	gazetteer	lat	ns	long	ew	llunit	llres	llorig	latlong	latdec	longdec	degsq	alt	altmax	altres	altrange	vernacular	language	genus	sp1	author1	rank1	sp2	author2	rank2	sp3	author3	unique	hsaccode	gazcode	hbcode	hstype	sptype	spnumber	spcodetype	cscode	altcs	addcscode	detbycode	conumber	ccid	entrydate	who	notonline
 	 	BR		Herbarium sheet	HS	455545	230726					"Westphal, E."		2889		"Westphal-Stevels, J.M.C."			1	12	1967		01-Dec-67	December	Solanaceae		acc	Solanum lycopersicum L.		"Amshoff, G.J.H."	0	0	1972	1972			Africa	Northeast Tropical Africa	0	0			Ethiopia	Sidamo				7.01	N	37.54	E	DM	4	GOOGL	"c. 7°01' N,  37°54' E Alt: 1850m"	7.016667	37.9	NE737	1850	0		1850			Solanum	lycopersicum	L.							0	0	71	187	0	0	5328	0	0	1	0	2024	69	1	07/10/2005	JanW	 
 	 	MO		Herbarium sheet	HS	455546	230726					"Westphal, E."		2889		"Westphal-Stevels, J.M.C."			1	12	1967		01-Dec-67	December	Solanaceae		acc	Solanum lycopersicum L.		"Amshoff, G.J.H."	0	0	1972	1972			Africa	Northeast Tropical Africa	0	0			Ethiopia	Sidamo				7.01	N	37.54	E	DM	4	GOOGL	"c. 7°01' N,  37°54' E Alt: 1850m"	7.016667	37.9	NE737	1850	0		1850			Solanum	lycopersicum	L.							0	0	71	1084	0	0	5328	0	0	1	0	2024	69	1	07/10/2005	JanW	 
 	 	C		Herbarium sheet	HS	455547	230726					"Westphal, E."		2889		"Westphal-Stevels, J.M.C."			1	12	1967		01-Dec-67	December	Solanaceae		acc	Solanum lycopersicum L.		"Amshoff, G.J.H."	0	0	1972	1972			Africa	Northeast Tropical Africa	0	0			Ethiopia	Sidamo				7.01	N	37.54	E	DM	4	GOOGL	"c. 7°01' N,  37°54' E Alt: 1850m"	7.016667	37.9	NE737	1850	0		1850			Solanum	lycopersicum	L.							0	0	71	983	0	0	5328	0	0	1	0	2024	69	1	07/10/2005	JanW	 
 	 	CAIM		Herbarium sheet	HS	455548	230726					"Westphal, E."		2889		"Westphal-Stevels, J.M.C."			1	12	1967		01-Dec-67	December	Solanaceae		acc	Solanum lycopersicum L.		"Amshoff, G.J.H."	0	0	1972	1972			Africa	Northeast Tropical Africa	0	0			Ethiopia	Sidamo				7.01	N	37.54	E	DM	4	GOOGL	"c. 7°01' N,  37°54' E Alt: 1850m"	7.016667	37.9	NE737	1850	0		1850			Solanum	lycopersicum	L.							0	0	71	1735	0	0	5328	0	0	1	0	2024	69	1	07/10/2005	JanW	 
*	 	L		Herbarium sheet	HS	2075945	1268714		L  0938004	40		Unio		s.n.					15	8	1900		15-Aug-00	August	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Limburg			Roermond	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	18266	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	WAG		Herbarium sheet	HS	455933	230853					"Westphal, E."		436	A!	"Westphal-Stevels, J.M.C."			6	7	1967		06-Jul-67	July	Solanaceae		acc	Solanum lycopersicum L.		"Amshoff, G.J.H."	0	0	1972	1972			Africa	Northeast Tropical Africa	0	0			Ethiopia	Harerge				0	 	0	 				Alt: 2000m	0	0		2000	0		2000			Solanum	lycopersicum	L.							0	0	920	594	0	0	5328	0	0	1	0	2024	69	1	07/10/2005	JanW	 
*	 	ACD		Herbarium sheet	HS	455934	230853					"Westphal, E."		436	A!	"Westphal-Stevels, J.M.C."			6	7	1967		06-Jul-67	July	Solanaceae		acc	Solanum lycopersicum L.		"Amshoff, G.J.H."	0	0	1972	1972			Africa	Northeast Tropical Africa	0	0			Ethiopia	Harerge				0	 	0	 				Alt: 2000m	0	0		2000	0		2000			Solanum	lycopersicum	L.							0	0	920	977	0	0	5328	0	0	1	0	2024	69	1	07/10/2005	JanW	 
*	 	L		Herbarium sheet	HS	2075946	1268715		L  0938005	41		Unio		s.n.					15	8	1900		15-Aug-00	August	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Limburg			Roermond	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	18266	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075947	1268716		L  0938006	42		"Visser Smits, D. de"		s.n.					0	0	0				Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			Den Haag	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	1089	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075948	1268717		L  0938007	43		"Wachter, W.H."		s.n.					0	0	0				Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			Rotterdam	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	1080	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
 	 	ACD		Herbarium sheet	HS	456793	231109					"Westphal, E."		705		"Westphal-Stevels, J.M.C."			18	7	1967		18-Jul-67	July	Solanaceae		acc	Solanum lycopersicum L.		"Amshoff, G.J.H."	0	0	1972	1972			Africa	Northeast Tropical Africa	0	0			Ethiopia	Harerge				9.25	N	42.02	E	DM	5	GOOGL	"9°25' N,  42°02' E Alt: 2050m"	9.416667	42.033333	NE942	2050	0		2050			Solanum	lycopersicum	L.							0	0	920	977	0	0	5328	0	0	1	0	2024	69	1	07/10/2005	JanW	 
*	 	L		Herbarium sheet	HS	2075949	1268718		L  0938008	44		"Backer, C.A."		s.n.					0	0	1900		1900		Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Noord-Holland			Haarlem	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	2836	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	ACD		Herbarium sheet	HS	456972	231184					"Westphal, E."		780		"Westphal-Stevels, J.M.C."			18	7	1967		18-Jul-67	July	Solanaceae		acc	Solanum lycopersicum L.		"Amshoff, G.J.H."	0	0	1972	1972			Africa	Northeast Tropical Africa	0	0			Ethiopia	Harerge				0	 	0	 				Alt: 2000m	0	0		2000	0		2000			Solanum	lycopersicum	L.							0	0	920	977	0	0	5328	0	0	1	0	2024	69	1	07/10/2005	JanW	 
*	 	WAG		Spirit collection	SP	1510387	231184					"Westphal, E."		780		"Westphal-Stevels, J.M.C."			18	7	1967		18-Jul-67	July	Solanaceae		acc	Solanum lycopersicum L.		"Amshoff, G.J.H."	0	0	1972	1972			Africa	Northeast Tropical Africa	0	0			Ethiopia	Harerge				0	 	0	 				Alt: 2000m	0	0		2000	0		2000			Solanum	lycopersicum	L.							0	0	920	594	0	0	5328	0	0	1	0	2024	69	5	07/10/2005	JanW	 
*	 	L		Herbarium sheet	HS	2075950	1268719		L  0938009	45		"Koorneef, J."		s.n.					0	0	0				Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Gelderland			Apeldoorn	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	23586	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075951	1268720		L  0938010	46		Laurellard		s.n.					0	7	1905		Jul-05	July	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Utrecht			Laren	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	84739	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075952	1268721		L  0938011	47		"Henrard, J.T."		s.n.					0	8	1909		Aug-09	August	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Noord-Holland			Amsterdam	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	2837	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
 	 	ETH		Herbarium sheet	HS	1865995	238017					"Jansen, P.C.M."		4985					19	1	1976		19-Jan-76	January	Solanaceae		syn	Lycopersicon esculentum Mill.		"Lester, R.N."	5	3	2005	05-Mar-05			Africa	Northeast Tropical Africa	0	0			Ethiopia	Illubabor				8.08	N	34.34	E	DM	4	map	"c. 8°08' N,  34°34' E Alt: 570m"	8.133333	34.566667	NE834	570	0		570			Lycopersicon	esculentum	Mill.							0	0	854	16	0	0	37050	0	0	1	0	81086	69	1	01/11/2005	JanW	 
 	 	MO		Herbarium sheet	HS	1865996	238017					"Jansen, P.C.M."		4985					19	1	1976		19-Jan-76	January	Solanaceae		syn	Lycopersicon esculentum Mill.		"Lester, R.N."	5	3	2005	05-Mar-05			Africa	Northeast Tropical Africa	0	0			Ethiopia	Illubabor				8.08	N	34.34	E	DM	4	map	"c. 8°08' N,  34°34' E Alt: 570m"	8.133333	34.566667	NE834	570	0		570			Lycopersicon	esculentum	Mill.							0	0	854	1084	0	0	37050	0	0	1	0	81086	69	1	01/11/2005	JanW	 
 	 	BR		Herbarium sheet	HS	1865997	238017					"Jansen, P.C.M."		4985					19	1	1976		19-Jan-76	January	Solanaceae		syn	Lycopersicon esculentum Mill.		"Lester, R.N."	5	3	2005	05-Mar-05			Africa	Northeast Tropical Africa	0	0			Ethiopia	Illubabor				8.08	N	34.34	E	DM	4	map	"c. 8°08' N,  34°34' E Alt: 570m"	8.133333	34.566667	NE834	570	0		570			Lycopersicon	esculentum	Mill.							0	0	854	187	0	0	37050	0	0	1	0	81086	69	1	01/11/2005	JanW	 
 	 	G		Herbarium sheet	HS	1865998	238017					"Jansen, P.C.M."		4985					19	1	1976		19-Jan-76	January	Solanaceae		syn	Lycopersicon esculentum Mill.		"Lester, R.N."	5	3	2005	05-Mar-05			Africa	Northeast Tropical Africa	0	0			Ethiopia	Illubabor				8.08	N	34.34	E	DM	4	map	"c. 8°08' N,  34°34' E Alt: 570m"	8.133333	34.566667	NE834	570	0		570			Lycopersicon	esculentum	Mill.							0	0	854	427	0	0	37050	0	0	1	0	81086	69	1	01/11/2005	JanW	 
*	 	L		Herbarium sheet	HS	2075953	1268722		L  0938012	48		"Zandvoort, G.H.H."		s.n.					30	7	1909		30-Jul-09	July	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Noord-Holland			Amsterdam	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	2837	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
 	 	YA		Herbarium sheet	HS	481092	240940					"Leeuwenberg, A.J.M."		10413		"Beek, W.E.A. van"			8	10	1972		08-Oct-72	October	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	North				10.37	N	13.34	E	DM	4		"c. 10°37' N,  13°34' E Alt: 1000m"	10.616667	13.566667	NE1013	1000	0		1000	kwematu	Kapsiki	Lycopersicon	esculentum	Mill.							0	0	779	241	0	0	37050	0	0	1	0	5679	46	1	11/11/2005	JanW	 
 	 	BR		Herbarium sheet	HS	481093	240940					"Leeuwenberg, A.J.M."		10413		"Beek, W.E.A. van"			8	10	1972		08-Oct-72	October	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	North				10.37	N	13.34	E	DM	4		"c. 10°37' N,  13°34' E Alt: 1000m"	10.616667	13.566667	NE1013	1000	0		1000	kwematu	Kapsiki	Lycopersicon	esculentum	Mill.							0	0	779	187	0	0	37050	0	0	1	0	5679	46	1	11/11/2005	JanW	 
 	 	MO		Herbarium sheet	HS	481094	240940					"Leeuwenberg, A.J.M."		10413		"Beek, W.E.A. van"			8	10	1972		08-Oct-72	October	Solanaceae		syn	Lycopersicon esculentum Mill.		"Westphal-Stevels, J.M.C."	0	0	1989	1989			Africa	Central Tropical Africa	0	0			Cameroon	North				10.37	N	13.34	E	DM	4		"c. 10°37' N,  13°34' E Alt: 1000m"	10.616667	13.566667	NE1013	1000	0		1000	kwematu	Kapsiki	Lycopersicon	esculentum	Mill.							0	0	779	1084	0	0	37050	0	0	1	0	5679	46	1	11/11/2005	JanW	 
*	 	L		Herbarium sheet	HS	2075954	1268723		L  0938013	49		Jansen		4512		Wachter			0	10	1906		Oct-06	October	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			Rotterdam	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	1080	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075955	1268724		L  0938014	50		Jansen		4511		Wachter			0	7	1899		July 1899	July	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			Rotterdam	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	1080	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
 	 	NOM		Herbarium sheet	HS	536343	267486					"Roseboom, C.M.T."		599					10	7	2002		10-Jul-02	July	Solanaceae		acc	Solanum lycopersicum L.		"Roseboom, C.M.T."	10	7	2002	10-Jul-02			Europe	Middle Europe	0	0			Netherlands	Gelderland			Nederlands Openluchtmuseum	52.0066	N	5.5483	E		6		"52°00.7' N,  5°54.8' E"	52.011	5.913833	NE525	0	0			Tomaat	Dutch	Solanum	lycopersicum	L.							0	0	3737	3040	0	0	5328	0	0	1	0	203	157	1	04/10/2006	JanW	 
*	 	L		Herbarium sheet	HS	2075956	1268725		L  0938015	51		"Pinkhof, M."		942	x				9	8	1908		09-Aug-08	August	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Noord-Holland			Amsterdam	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	2837	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075957	1268726		L  0938016	52		Jansen		s.n.		Wachter			0	8	1922		Aug-22	August	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			Rotterdam	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	1080	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075958	1268727		L  0938017	53		"Soest, J.L. van"		s.n.					0	10	1926		Oct-26	October	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Gelderland			Velp	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	11824	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075959	1268728		L  0938018	54		"Buwalda, P."		165					3	9	1924		03-Sep-24	September	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Limburg			Venlo	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	11930	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075960	1268729		L  0938019	55		"Soest, J.L. van"		18767					0	8	1925		Aug-25	August	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Gelderland			Renkum	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	29796	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075961	1268730		L  0938020	56		"Kloos Jr, A.W."		s.n.					0	10	1913		Oct-13	October	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			Dordrecht	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	36975	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075962	1268731		L  0938021	57		"Jans, A."		1001		"Ploeg, D.T.E. van der"			0	8	1957		Aug-57	August	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Belgium	Liège			Ternaaien	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	84278	8339	0	0	5328	0	0	1	0	0	20	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075963	1268732		L  0938022	58		"Adema, F.A.C.B."		s.n.					11	8	1970		11-Aug-70	August	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			Leiden	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	4644	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075964	1268733		L  0938023	59		"Wilde, A. de"		1355					1	7	1940		01-Jul-40	July	Solanaceae		acc	Solanum lycopersicum L.		"Wilde, A. de"	0	0	1940	1940			Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			Dordrecht	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	36975	8339	0	0	5328	0	0	1	0	81574	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075965	1268734		L  0938024	60		"Boom, B.K."	*	19111					9	9	1950		09-Sep-50	September	Solanaceae		acc	Solanum lycopersicum L.		"Boom, B.K."	9	9	1950	09-Sep-50			Europe	Middle Europe	0	0			Netherlands	Gelderland			Kekerdom	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	37875	8339	0	0	5328	0	0	1	0	536	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075966	1268735		L  0938025	61		Unknown	15	8					4	8	1925		04-Aug-25	August	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Gelderland			Nijmegen	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	11905	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075967	1268736		L  0938026	62		"Bruyn, H. de"		s.n.					26	8	1938		26-Aug-38	August	Solanaceae		acc	Solanum lycopersicum L.		"Vervoort, W.; Bruyn, H. de"	26	8	1938	26-Aug-38			Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			Schiedam	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	36976	8339	0	0	5328	0	0	1	0	22643	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075968	1268737		L  0938027	63		"Borssum Waalkes, J. van"		5660					0	9	1944		Sep-44	September	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Groningen			Groningen	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	11910	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Extra sheet	XS	2075970	1268738		L  0938028	64		Unknown		2470	A				30	7	1944		30-Jul-44	July	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			Leiden	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	4644	8339	0	0	5328	0	0	1	0	0	157	2	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075969	1268738		L  0938029	65		Unknown		2470	A				30	7	1944		30-Jul-44	July	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			Leiden	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	4644	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075971	1268739		L  0938030	66		"Franke, D."	1001-	1		"Ploeg, D.T.E. van der"			3	9	1955		03-Sep-55	September	Solanaceae		acc	Solanum lycopersicum L.		"Ploeg, D.T.E. van der"	8	9	1955	08-Sep-55			Europe	Middle Europe	0	0			Netherlands	Friesland			Wartena	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	50176	8339	0	0	5328	0	0	1	0	17661	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075972	1268740		L  0938031	67		Unknown		s.n.					5	8	1952		05-Aug-52	August	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Drenthe			Pesse	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	29671	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075973	1268741		L  0938032	68		"Koster, W.J.W."		s.n.					0	9	1916		Sep-16	September	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Noord-Holland			Spanderswoud	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	82736	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075974	1268742		L  0938033	69		Unknown		s.n.					4	8	1917		04-Aug-17	August	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			Schiedam	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	36976	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075975	1268743		L  0938034	70		Unknown		260					2	9	1934		02-Sep-34	September	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Noord-Holland			Amsterdam	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	2837	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2076096	1268857		L  0938035	71		Herb. Kruseman		s.n.					0	0	0				Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Noord-Holland			Urk	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	67023	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075976	1268744		L  0938036	73		"Weeda, E.J."		s.n.					29	9	1983		29-Sep-83	September	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Limburg			Valkenburg	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	23999	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075977	1268745		L  0938037	74		Unknown		s.n.					14	8	1970		14-Aug-70	August	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			Groot Ammers	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	50233	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075978	1268746		L  0938038	75		"Ooststroom, S.J. van"		25010		"Soest, J.L. van"			20	10	1969		20-Oct-69	October	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Gelderland			Boven Leeuwen	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	38044	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075979	1268747		L  0938039	76		Unknown		324					0	8	1927		Aug-27	August	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Noord-Holland			Amsterdam	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	2837	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075980	1268748		L  0938040	77		"Ooststroom, S.J. van"		524					3	9	1927		03-Sep-27	September	Solanaceae		acc	Solanum lycopersicum L.		"Ooststroom, S.J. van"	0	0	1928	1928			Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			Rotterdam	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	1080	8339	0	0	5328	0	0	1	0	5204	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075981	1268749		L  0938041	78		"Ooststroom, S.J. van"		16605					16	9	1952		16-Sep-52	September	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			Leiden	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	4644	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Herbarium sheet	HS	2075982	1268750		L  0938042	79		"Kern, J.H."		21757		"Ooststroom, S.J. van & Reichgelt, T.J."			2	9	1959		02-Sep-59	September	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Limburg			Itteren	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	38074	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
*	 	L		Seed collection	SE	889322	552470	4699				Unknown		s.n.				?	0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Europe	Middle Europe	0	0			Netherlands				Hort. Lugd. Bat.	0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	46891	8339	0	31566	37050	0	0	1	0	0	157	17	03/05/2000		 
*	 	L		Seed collection	SE	889323	552471	4700				Unknown		s.n.				?	0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0				Europe	Middle Europe	0	0			Netherlands				Hort. Lugd. Bat.	0	 	0	 					0	0		0	0					Lycopersicon	esculentum	Mill.							0	0	46891	8339	0	31566	37050	0	0	1	0	0	157	17	03/05/2000		 
*	 	L		Seed collection	SE	889324	552472	4715				Unknown		s.n.				?	0	0	0				Solanaceae		syn	Lycopersicon esculentum Mill.			0	0	0						0	0			Unknown					6.35	S	10.476	E	DMS	0		"6°35' S,  10°48' E"	-6.583333	10.8	SE610	0	0					Lycopersicon	esculentum	Mill.							0	0	76	8339	0	31566	37050	0	0	1	0	0	241	17	03/05/2000		 
*	 	L		Herbarium sheet	HS	2075983	1268751		L  0938043	80		"Ooststroom, S.J. van"		21813		"Reichgelt, T.J."			6	9	1959		06-Sep-59	September	Solanaceae		acc	Solanum lycopersicum L.			0	0	0				Europe	Middle Europe	0	0			Netherlands	Zuid-Holland			De Beer	0	 	0	 					0	0		0	0					Solanum	lycopersicum	L.							0	0	47378	8339	0	0	5328	0	0	1	0	0	157	1	24/05/2012	Huber	 
